sessionId,label,timestamp,accX,accY,accZ,rotX,rotY,rotZ
session_20260414_152204_046,uppercut,23430.4207,0.136865,0.086369,0.062123,0.265342,0.386590,-0.098879
session_20260414_152204_046,uppercut,23430.4406,0.119533,0.056494,0.058046,0.100765,0.315975,-0.076562
session_20260414_152204_046,uppercut,23430.4605,0.127199,-0.005577,0.049890,-0.076599,0.216709,-0.049742
session_20260414_152204_046,uppercut,23430.4804,0.138587,0.005861,0.031107,-0.002322,0.113948,-0.006528
session_20260414_152204_046,uppercut,23430.5003,0.122987,0.029602,0.009777,0.174779,0.042803,0.071886
session_20260414_152204_046,uppercut,23430.5202,0.098835,0.009876,0.024334,0.233666,-0.007591,0.140699
session_20260414_152204_046,uppercut,23430.5401,0.081558,-0.021805,0.075222,0.154785,-0.034362,0.185316
session_20260414_152204_046,uppercut,23430.5599,0.060581,-0.024710,0.095763,0.042614,-0.032192,0.210732
session_20260414_152204_046,uppercut,23430.5798,0.033565,-0.025170,0.088423,0.039595,0.025645,0.234777
session_20260414_152204_046,uppercut,23430.5997,0.012427,-0.004296,0.061020,0.136838,0.084699,0.263630
session_20260414_152204_046,uppercut,23430.6196,0.009986,-0.007035,0.083033,0.093207,0.119885,0.247995
session_20260414_152204_046,uppercut,23430.6395,0.001360,-0.020138,0.097691,-0.062657,0.112509,0.177363
session_20260414_152204_046,uppercut,23430.6594,-0.014819,-0.036248,0.110113,-0.233950,0.069669,0.107319
session_20260414_152204_046,uppercut,23430.6793,-0.024424,0.003170,0.088209,-0.253424,-0.003895,0.055752
session_20260414_152204_046,uppercut,23430.6992,-0.038348,0.062708,0.046474,-0.170554,-0.072662,0.037701
session_20260414_152204_046,uppercut,23430.7191,-0.038935,0.076387,0.034622,-0.132545,-0.134768,0.029662
session_20260414_152204_046,uppercut,23430.7390,-0.030129,0.045749,0.033081,-0.175268,-0.204497,0.015679
session_20260414_152204_046,uppercut,23430.7589,-0.026795,0.068193,0.018115,-0.155346,-0.247158,0.024511
session_20260414_152204_046,uppercut,23430.7788,-0.030745,0.070118,-0.009625,-0.075622,-0.264507,0.030608
session_20260414_152204_046,uppercut,23430.7987,-0.026946,0.058189,-0.009442,0.007178,-0.274967,0.029647
session_20260414_152204_046,uppercut,23430.8186,-0.016271,0.041158,-0.006729,0.038591,-0.272461,0.016882
session_20260414_152204_046,uppercut,23430.8384,-0.016041,0.039591,-0.004490,0.032342,-0.247346,0.016623
session_20260414_152204_046,uppercut,23430.8583,-0.018538,0.036711,-0.011160,0.004445,-0.197157,0.020422
session_20260414_152204_046,uppercut,23430.8782,-0.027093,0.042252,-0.025170,0.028800,-0.150010,0.033496
session_20260414_152204_046,uppercut,23430.8981,-0.028773,0.050968,-0.010656,0.077684,-0.111592,0.043649
session_20260414_152204_046,uppercut,23430.9180,-0.030701,0.020361,-0.001436,0.073414,-0.082159,0.044430
session_20260414_152204_046,uppercut,23430.9379,-0.032657,0.022867,0.005903,0.035282,-0.064533,0.056299
session_20260414_152212_047,uppercut,23435.8215,-0.068729,-0.029068,0.054730,0.062944,-0.061108,0.081175
session_20260414_152212_047,uppercut,23435.8414,-0.079868,-0.032602,0.044919,0.050700,-0.082810,-0.011417
session_20260414_152212_047,uppercut,23435.8613,-0.074565,-0.014574,0.027094,0.017880,-0.093458,-0.040111
session_20260414_152212_047,uppercut,23435.8812,-0.052417,-0.011309,0.015242,-0.002611,-0.146785,0.237956
session_20260414_152212_047,uppercut,23435.9011,-0.070198,0.001161,-0.009197,-0.003852,-0.091786,-0.105562
session_20260414_152212_047,uppercut,23435.9210,0.004578,0.008455,-0.019355,0.018884,-0.150614,-0.071503
session_20260414_152212_047,uppercut,23435.9409,0.015856,0.006698,-0.033321,0.013335,-0.121684,-0.017143
session_20260414_152212_047,uppercut,23435.9608,0.084340,0.032701,-0.047192,0.095272,-0.174300,0.068214
session_20260414_152212_047,uppercut,23435.9807,0.168175,0.044583,-0.097537,0.280308,-0.192882,0.147580
session_20260414_152212_047,uppercut,23436.0006,0.182081,0.060954,-0.123560,0.419804,-0.169243,0.234663
session_20260414_152212_047,uppercut,23436.0205,0.149409,0.063622,-0.095299,0.488956,-0.139810,0.331636
session_20260414_152212_047,uppercut,23436.0404,0.094623,0.049675,-0.044690,0.499636,-0.095271,0.345830
session_20260414_152212_047,uppercut,23436.0603,0.035241,0.022554,0.011171,0.393536,-0.036709,0.293450
session_20260414_152212_047,uppercut,23436.0801,-0.044130,-0.031585,0.061884,0.211987,0.011327,0.154000
session_20260414_152212_047,uppercut,23436.1000,-0.136787,-0.065827,0.132451,0.003949,0.016580,-0.041287
session_20260414_152212_047,uppercut,23436.1199,-0.251593,-0.119365,0.196337,-0.170303,-0.016441,-0.391127
session_20260414_152212_047,uppercut,23436.1398,-0.396970,-0.196298,0.254613,-0.385469,-0.032099,-0.821210
session_20260414_152212_047,uppercut,23436.1597,-0.536527,-0.234398,0.313963,-0.708280,-0.008376,-1.254149
session_20260414_152212_047,uppercut,23436.1796,-0.663647,-0.283143,0.334617,-1.112070,0.045759,-1.726056
